name,country_code,company_state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on, price_usd , price ,price_currency_code, cb_url , ipo_uuid ,uuid
NEAH Power Systems,USA,WA,WA,Bothell,otcpink,NPWZ,2007-01-26,,,, https://www.crunchbase.com/organization/neah-power-systems , 9a8f8b71-eaac-a33b-be47-46b4b42d19a6 ,6628d932-5eae-93d2-0ea7-e7f817fd4592
Solos Endoscopy,USA,MA,MA,Boston,otcpink,SNDY,2007-01-26,,,, https://www.crunchbase.com/organization/solos-endoscopy , 6825452a-bf8d-86f7-5676-f590e7e87b64 ,8f697567-ed52-5c62-81f7-ebf26df39135
Energy One Ltd,AUS,,2,Sydney,asx,EOL,2007-01-25,,,, https://www.crunchbase.com/organization/energy-one-limited , b623d1ee-9d1d-e9c6-6ac0-95824073d5a9 ,bf00dd4d-8669-2b7a-217e-7963378fbe3d
Evoq Properties,USA,CA,CA,Los Angeles,nasdaq,MMPI,2007-01-25,,,, https://www.crunchbase.com/organization/evoq-properties , 287dd782-2ec1-7d02-2dfa-d18e27338e27 ,6940104b-4443-ae64-2405-ed0a4cfaa422
PVR Ltd,IND,,10,Gurgaon,nse,PVR,2007-01-25,,,, https://www.crunchbase.com/organization/pvr-ltd , 3b64d0dc-210c-2669-d979-f1b9920187b0 ,8bb4dc5d-f025-b0b8-0a9c-c83202a08412
Sonoma Pharmaceuticals,USA,CA,CA,Petaluma,nasdaq,SNOA,2007-01-25,,,, https://www.crunchbase.com/organization/oculus-innovative-sciences , 5e1922aa-4ca3-f6e1-c854-cb2ac76cdfee ,74922ca2-6b9f-6158-8fa2-fc32868d371f
Tide Water Oil Co. (India) Ltd.,IND,,28,Kolkata,nse,TIDEWATER,2007-01-25,,,, https://www.crunchbase.com/organization/tide-water-oil-co-india-ltd , 35d2c8e0-4867-ddcd-897d-8ed9f918d8e4 ,0f3e4553-71b8-9d5f-d94b-081a34ab3507
First Community Financial Bank,USA,IL,IL,Joliet,nasdaq,FCFP,2007-01-24,,,, https://www.crunchbase.com/organization/first-community-financial-bank , 63321559-d889-56f4-1960-a06112771267 ,e1f82994-f567-270c-63c1-5bd66c654ca5
Oritani Financial,USA,NJ,NJ,Washington,nasdaq,ORIT,2007-01-24,,,, https://www.crunchbase.com/organization/oritani-financial , 8135ea88-dbf9-9dd9-8cc1-6952fce0a0d9 ,240ea5f5-c8a8-2db4-7d12-23931c7deac6
Athabasca Minerals,CAN,AB,AB,Edmonton,cve,ABM,2007-01-19,,,, https://www.crunchbase.com/organization/athabasca-minerals , c682b1d8-3000-fb19-486f-c025e6ade660 ,da8200cd-38c5-3dba-14bf-4211db7d142d
Avante Logixx,CAN,ON,ON,Toronto,cve,XX,2007-01-19,,,, https://www.crunchbase.com/organization/avante-logixx , 906bc555-0872-9022-102e-022c8bc795e5 ,1faa7b4e-2c46-c4f1-e926-4bd6f40b25c7
CoAsia Holdings,KOR,,12,Inchon,kosdaq,45970,2007-01-19,,,, https://www.crunchbase.com/organization/bse-holdings , a956059b-6aa3-f22e-763e-d2c8509e9d17 ,d8f33ab5-d44a-0029-9b23-eddc8711e5ae
Olivut Resources,CAN,AB,AB,Hinton,cve,OLV,2007-01-19,,,, https://www.crunchbase.com/organization/olivut-resources , 66507957-b5ff-50ec-77b6-1bde9b79fc46 ,cecc9c8f-a5ed-915f-c979-ea85cf37acb1
