company_name,country_code,state_code,region,funding_rounds,women_led
Fusion Pharmaceuticals,CAN,ON,ON,3,True
Globechain,GBR,,H9,2,True
GRIND,GBR,,H9,1,False
Guerrilla RF,USA,NC,NC,7,False
Hungry Marketplace,USA,VA,VA,3,True
iCAN: israel-cannabis.com,ISR,,6,4,False
IGEM Therapeutics,GBR,,H9,4,True
Indiana University Foundation,USA,IN,IN,1,False
Innovate Biopharmaceuticals,USA,NC,NC,3,False
Intello Labs,IND,,10,1,False
Jefferson Education Accelerator,USA,DC,DC,2,False
Jumia Group,NGA,,5,5,False
Koku,SGP,,,3,False
Lauf Forks,ISL,,10,7,False
Lightspeed POS,CAN,QC,QC,5,False
Little Fish (UK),GBR,,J8,1,False
Lucid Sight,USA,CA,CA,3,True
Mailgun,USA,CA,CA,4,False
Medical Informatics Corp,USA,TX,TX,1,True
mPharma,GHA,,1,7,True
Nutrafol,USA,NY,NY,2,False
Pebblebee,USA,WA,WA,3,False
Perch,USA,NY,NY,5,True
Pixelogic Media,USA,CA,CA,2,False
Poplar,GBR,,H9,2,False
Propio,GBR,,H9,2,True
Protect My Car,USA,FL,FL,5,False
Red Points,ESP,,56,4,True
Segment,USA,CA,CA,7,True
Sqreen,USA,CA,CA,3,False
TEMOK IT Services,ARE,,3,1,False
TheLorry.com,MYS,,12,3,False
Token,USA,NY,NY,4,True
Untether AI,CAN,ON,ON,2,False
Vestwell,USA,NY,NY,3,False
Zhuiyi Technology,CHN,,30,3,False
Agorize,FRA,,A8,3,True
B-fresh,IND,,10,3,False
BioSig Technologies,USA,MN,MN,12,True
CollegeVine,USA,MA,MA,3,False
Ecoation Innovative Solutions,CAN,BC,BC,2,False
Escale,BRA,,27,4,False
ezCater,USA,MA,MA,8,True
Hypoteket,SWE,,26,3,True
Instamart,RUS,,48,2,False
Jollitot,USA,TX,TX,1,False
Just Me Technologies,FRA,,A8,1,False
ManoMano,FRA,,A8,5,True
MDaaS Global,,,,2,True
Metrion Biosciences,GBR,,C3,3,False
Movellus,USA,MI,MI,5,False
Mustang Bio,USA,NY,NY,1,False
MyPoppins,ESP,,56,3,False
NextGen Jane,USA,CA,CA,3,True
Nykaa,IND,,16,8,True
OLAM International,CHN,,25,5,False
OnScale,USA,CA,CA,2,False
OYO,IND,,10,12,True
Pixeom,USA,AZ,AZ,1,True
Plexure,USA,CA,CA,5,False
Pocketh,USA,OH,OH,1,False
Polystream,GBR,,N7,3,False
Pop & Rest,GBR,,H9,1,False
"Privapp, Inc.",,,,1,True
Productiv,USA,CA,CA,1,False
ProovStation,FRA,,B9,2,False
Replika Software LLC.,USA,NY,NY,2,True
Shaw Academy,IRL,,7,2,False
Sheetgo,ESP,,29,4,True
